customer_key,customer_id,account_number,person_id,full_name,first_name,last_name,email_promotion,territory_id
1,1,AW00000001,,,,,,1
2,2,AW00000002,,,,,,1
3,3,AW00000003,,,,,,4
4,4,AW00000004,,,,,,4
5,5,AW00000005,,,,,,4
6,6,AW00000006,,,,,,4
7,7,AW00000007,,,,,,1
8,8,AW00000008,,,,,,5
9,9,AW00000009,,,,,,5
10,10,AW00000010,,,,,,6
11,11,AW00000011,,,,,,6
12,12,AW00000012,,,,,,6
13,13,AW00000013,,,,,,7
14,14,AW00000014,,,,,,8
15,15,AW00000015,,,,,,9
16,16,AW00000016,,,,,,10
17,17,AW00000017,,,,,,5
18,18,AW00000018,,,,,,3
19,19,AW00000019,,,,,,1
20,20,AW00000020,,,,,,1
21,21,AW00000021,,,,,,4
22,22,AW00000022,,,,,,3
23,23,AW00000023,,,,,,4
24,24,AW00000024,,,,,,4
25,25,AW00000025,,,,,,4
26,26,AW00000026,,,,,,5
27,27,AW00000027,,,,,,5
28,28,AW00000028,,,,,,6
29,29,AW00000029,,,,,,6
30,30,AW00000030,,,,,,6
31,31,AW00000031,,,,,,7
32,32,AW00000032,,,,,,8
33,33,AW00000033,,,,,,9
34,34,AW00000034,,,,,,10
35,35,AW00000035,,,,,,2
36,36,AW00000036,,,,,,2
37,37,AW00000037,,,,,,1
38,38,AW00000038,,,,,,1
39,39,AW00000039,,,,,,3
40,40,AW00000040,,,,,,4
41,41,AW00000041,,,,,,4
42,42,AW00000042,,,,,,4
43,43,AW00000043,,,,,,1
44,44,AW00000044,,,,,,5
45,45,AW00000045,,,,,,5
46,46,AW00000046,,,,,,6
47,47,AW00000047,,,,,,6
48,48,AW00000048,,,,,,6
49,49,AW00000049,,,,,,7
50,50,AW00000050,,,,,,8
51,51,AW00000051,,,,,,9
52,52,AW00000052,,,,,,10
53,53,AW00000053,,,,,,2
54,54,AW00000054,,,,,,2
55,55,AW00000055,,,,,,1
56,56,AW00000056,,,,,,1
57,57,AW00000057,,,,,,3
58,58,AW00000058,,,,,,3
59,59,AW00000059,,,,,,4
60,60,AW00000060,,,,,,4
61,61,AW00000061,,,,,,4
62,62,AW00000062,,,,,,5
63,63,AW00000063,,,,,,5
64,64,AW00000064,,,,,,6
65,65,AW00000065,,,,,,6
66,66,AW00000066,,,,,,6
67,67,AW00000067,,,,,,7
68,68,AW00000068,,,,,,8
69,69,AW00000069,,,,,,9
70,70,AW00000070,,,,,,10
71,71,AW00000071,,,,,,2
72,72,AW00000072,,,,,,2
73,73,AW00000073,,,,,,1
74,74,AW00000074,,,,,,1
75,75,AW00000075,,,,,,4
76,76,AW00000076,,,,,,3
77,77,AW00000077,,,,,,4
78,78,AW00000078,,,,,,4
79,79,AW00000079,,,,,,3
80,80,AW00000080,,,,,,5
81,81,AW00000081,,,,,,5
82,82,AW00000082,,,,,,6
83,83,AW00000083,,,,,,6
84,84,AW00000084,,,,,,6
85,85,AW00000085,,,,,,7
86,86,AW00000086,,,,,,8
87,87,AW00000087,,,,,,9
88,88,AW00000088,,,,,,10
89,89,AW00000089,,,,,,2
90,90,AW00000090,,,,,,5
91,91,AW00000091,,,,,,1
92,92,AW00000092,,,,,,1
93,93,AW00000093,,,,,,4
94,94,AW00000094,,,,,,4
95,95,AW00000095,,,,,,4
96,96,AW00000096,,,,,,4
97,97,AW00000097,,,,,,4
98,98,AW00000098,,,,,,5
99,99,AW00000099,,,,,,5
100,100,AW00000100,,,,,,6
101,101,AW00000101,,,,,,6
102,102,AW00000102,,,,,,6
103,103,AW00000103,,,,,,7
104,104,AW00000104,,,,,,8
105,105,AW00000105,,,,,,9
106,106,AW00000106,,,,,,10
107,107,AW00000107,,,,,,2
108,108,AW00000108,,,,,,2
109,109,AW00000109,,,,,,1
110,110,AW00000110,,,,,,1
111,111,AW00000111,,,,,,3
112,112,AW00000112,,,,,,4
113,113,AW00000113,,,,,,4
114,114,AW00000114,,,,,,4
115,115,AW00000115,,,,,,1
116,116,AW00000116,,,,,,5
117,117,AW00000117,,,,,,5
118,118,AW00000118,,,,,,6
119,119,AW00000119,,,,,,6
120,120,AW00000120,,,,,,6
121,121,AW00000121,,,,,,7
122,122,AW00000122,,,,,,8
123,123,AW00000123,,,,,,9
124,124,AW00000124,,,,,,10
125,125,AW00000125,,,,,,2
126,126,AW00000126,,,,,,2
127,127,AW00000127,,,,,,1
128,128,AW00000128,,,,,,1
129,129,AW00000129,,,,,,3
130,130,AW00000130,,,,,,4
131,131,AW00000131,,,,,,4
132,132,AW00000132,,,,,,3
133,133,AW00000133,,,,,,4
134,134,AW00000134,,,,,,5
135,135,AW00000135,,,,,,5
136,136,AW00000136,,,,,,6
137,137,AW00000137,,,,,,6
138,138,AW00000138,,,,,,6
139,139,AW00000139,,,,,,7
140,140,AW00000140,,,,,,8
141,141,AW00000141,,,,,,9
142,142,AW00000142,,,,,,10
143,143,AW00000143,,,,,,2
144,144,AW00000144,,,,,,2
145,145,AW00000145,,,,,,1
146,146,AW00000146,,,,,,1
147,147,AW00000147,,,,,,3
148,148,AW00000148,,,,,,3
149,149,AW00000149,,,,,,3
150,150,AW00000150,,,,,,4
151,151,AW00000151,,,,,,4
152,152,AW00000152,,,,,,5
